login,company,followers,following,languages,organizations
Ulubay                                  ,,"{GamzeGuneysi,hwclass,hgulacar,aligoren,kenansubasi,kaaninan,angusshire,FatmaKurcan,yilmazuur,cesmeemlak,elifmnmn,ternsip,meltem-akpolat}","{amiroff,omerk,cihann,vigo,hasantayyar,agb,ustun,ekinertac,bcambel,emres,tugrul,hmert,doganaydin,emret,alorak,tayfunoziserikan,fehmicansaglam,serkanaltuntas,mustafavelioglu,fmozturk,huseyinozkilic,mirac,1zinnur9,maidis,mustafakisa,apoStyLEE,delirehberi,muraty,eserozvataf,kubudi,lacivert,sdogruyol,emir,rahmanusta,mertdiricanli,omerozkan,fatiherikli,mertdumenci,barinali,halitalptekin,oguzbilgener,SelimAbidin,mustafauysal,ogzolmz,bahattincinic,fatihmert,gwn,erhnby,tamert,bekircem,sadettin,bekirkarul,cengizkrbck,serkanakyurek,volkanaslan,ycagdas,gokmenguresci,cagrikoksal,meryem,caglar-ulker,hamzakaya,karabulut,sly01,gizemiskender,hwclass,tuvaergun,mvaslan,smtaydemir,yisleyen,Alideniz,arslanmit,sadikcetin,busetekin,ogta,simgeekiz,slm,arslanbilal,slyn,erolg,ferhatsencer,kenansubasi,uygarkoroglu,mazlumagar,MesutGulecen,mbasaran77,MuhammetDilmac,lacriment,ErolGamze,kkaba46,EyupCan,mahmutkaratay,utkusaridede,ecemeroglu,TugbaGonultas,ifkizilkaya,ahmetertugrul,busekaya,ahmetgurel,sedasaz,kubratalay,msgrn38,kararliadam,ernuynk,maksimlinus,icandac,yerenutku,oguzpamuk,demirmeltem,burakoner,onurgurbuz,uyasarkocal,tugceykselll,ozelfatih,likelazyeyes,sinansahin,yagmurdereli,meltem-akpolat,GlcEbru,mertkas26,GizemTemizyurek,elifmnmn,EHMCi,SaidDokumaci,CansuKaraca,hesnaakay,naimeyalcin,muratozclk,oktayuyar,murattoraman,Fadimegunay,eminecifci,ISkandaLTR,rahmiyildiz,csxnetwork,AhsenUsta,GamzeGuneysi,ishak42,gamzeyigit,OsmanKandemir,FatmaKurcan}","{None,PHP}",
Karayel                                 ,,"{sengulfaruk1,gabrielpconceicao,melikeg,nazliakdag,angusshire,morgothraud,zackhaikal,cihanozde,Emrehzl94,tuncerkaan,chrisjburch}","{rakyll,johndbritton,muharremtac,caglardursun,seyhunak,parkr,uyar,NARKOZ,mulderbaba,dmessing,AdamBien,QuincyLarson,torvalds,rahmanusta,jlord,oguzbilgener,nacidai,sumnulu,kodmutfagi,anwell,leventerguder,jendewalt,tuncerkaan,JavaTeknolojileri,GKisa95,theSpaceOttsel}","{CSS,None,JavaScript,Java,HTML}",
jmvines                                 ,,"{fuentepa,angusshire}","{AnderWeb,chalup,makovkastar,oguzbilgener,afollestad,daimajia,pedrovgs,navasmdc,flavienlaurent,fuentepa,neokree}","{None,Java}",
spyder4u                                ,WT.Kiev                                                                                                                                                                                                                                                   ,,"{oguzbilgener,DenisMondon,ozodrukh,navasmdc,rudsonlive,SimplicityApks}",{None},
biratrai                                ,,"{joshuar500,pranavlathigara,sam33rdhakal}","{mag,JakeWharton,elebetsamer,commonsguy,adavis,pardom,partition,cyrret,salogel42,heddle317,benjakuben,emce,ericouyang,artem-zinnatullin,orhanobut,deano2390,MichaelEvans,konifar,rockerhieu,oguzbilgener,danielburkard,antoniolg,danrhjones,daimajia,joshuar500,sam33rdhakal,daniellevass,slidenerd,florent37,GeekTrainer,ewintory,DawoonC,careermonk,gowong,francorisso,allanbreyes,brenj,stueken}","{PHP,Python,Java,JavaScript,Ruby,None}",
ozgurshn                                ,,"{barhun,mohsinalimat}","{kemaltaskin,ahmet,ardalahmet,evrenesat,rnystrom,yannickl,mathewsanders,gmertk,omergul123,mmackh,barhun,NatashaTheRobot,mertdumenci,alikaragoz,durul,oguzbilgener,serhatsezer,kkocabiyik,iltercengiz,czechboy0,cemolcay,erkancan,rocxteady,dasdom,daehn,FlexMonkey}","{Objective-C,HTML,Swift}",
LoveXFF                                 ,,,"{oguzbilgener,zmldlut}",{C#},
fehmicansaglam                          ,@cimri                                                                                                                                                                                                                                                    ,"{muratkgirgin,gkmngrgn,vigo,serdardalgic,emret,eminn,memre,abdagli,barisozcanli,onurtopcu,ecemsomay,hasanhuseyincakir,jeffisabelle,apoStyLEE,muraty,alemdagibrahim,acemimhnds,asimturgut61,kubudi,liberte,XcsN,fatiherikli,karadeniz,vforvandetta,omarkurt,eyildiz,aslanunal,lacivert,adililhan,makseli,ahmetkakici,madven,metude,mesuutt,ulgens,CengAmat,emreakay,f,csjaba,gurcankavakci,oksuz,csenol,sulutas81,caglar-ulker,meren,furkankaynak,githubdata,pekermert,hotwolt,korayal,firatgursoy,vural,mertcanekren,askn,emir,emrekarabacak,fatih,aacanakin,overclockcu,semihozkoroglu,ouzman,msenol86,senemanil,msimav,muzir,bernaaksoy,onursa,Buyomer,birtanyildiz,indria,ugurlu,hanziwang,dadaruh,xmikro,talhakabakus,Zer0Root,serdarb,enishb,bcakir,stalayhan,hantuzun,smtaydemir,alferdes,ferhtaydn,fatihtoprak,alpers,oguzbilgener,huzeyfeborazan,brifordwylie,torosgokkurt,phillipadsmith,gizemiskender,doganaydin,joom,hmert,moguzhanataman,swhgoon,mehmetgunturkun,hwclass,mushtaq,ozziest,frtncr,haibnu,hakanoklay,seyhunak,wsenjer,furkantektas,huseyinozkilic,kahramankurt,ygunayer,mehmettaskiner,kaanburaksener,ugurcanlacin,talhaokur,tugceykselll,brianleroux,aliemre,concerned3rdparty,serkanaltuntas,techeventstr,omerhakanbilici,ayciceksamet,burakyuce,ilyas-keser,busekaya,bahattincinic,yyyakupyazici,LugiHaue,hzengin,necatikartal,onurkaracali,yasintoy,GlcEbru,tugbaa,MuhammetDilmac,mertkavi,ilgooz,Enphyr,gokhanayhan38,evrenweb,umitdincel,UgurAldanmaz,mehmetsoylucom,CBaldemir1995,yekmer,buremba,trietptm,husamwise,oguzhaneren,AhsenUsta,eminecifci,Ulubay,OguzhanE,anilkan,hariso,kutluhanmetin,gamzebuketakca,figalit,harunoknel,mirac,aligoren,onurbaran,hiorws,monobilisim,utdemir,cemurat,erolbalaban,bilalcorbacioglu,furkanoyk,erenhatirnaz,woodenboat,erhanpaker,kaaninan,cagdass,FurkanInciroglu,akyagmur,hkulekci,ferdisaltek,aburkov,gabrielpconceicao,keremciu,mertbulan,aprando,firate,gurkanyarar,LOBOENAMRAOLUNA,kenansubasi,BrkSe,aetepe,adiloztaser,AydinKuloglu,burakbozan,gokceyucel,akici,sercandogan,yubo-yue,angusshire,ilkerkesen,hanjinze,cnkaptan,necmi,ilkeraksu,kursadbilgin,illucent,ozantopuz,mehmetkose,delirehberi,pvkiu,ibrahimgunduz34,canaltinova,sacikal,s,lacriment,arslanmit,saffetpamuk,lalib,sercandumansiz,onerciller,selimok,volkanto,ganeshredcobra,fmut,scriptype,beratcarsi,ergenekonyigit,abdullahvelioglu,ercanakca,AlicanAkkus,oguzzkilic,rozkerim,eyupatis,Hamzali,cguzel,mcemilg,frknnay,hacernur,yasinguzel,bobleeli,cemarguvanli,csarigoz,ademkanat,alirizakeles,ilhnctn,onurtemizkan,whoisozan,gokselpirnal,omerfarukdemir,evinw,mhmmdd,h4yfans,envergokmen,ummugulsumakyildiz,chhaichivon,shenol,erkanerol,osanir,bariscant,chrissom,hicay,cenkcorapci,mujdatcicek,hakanbicer,mehmetv,figenCan,Bahittin,life,HuseyinVural}","{ismail,viktorklang,ozataman,eren,gokmen,sadache,gkmngrgn,cihann,mandubian,buremba,vigo,rakyll,serdardalgic,metdos,csenol,ahmetalpbalkan,mce,emret,meren,mbknor,ertugerata,DanSimon,ahmet,Seylul,eminn,Notalifeform,fatih,memre,huljas,atamborrino,bahadir,ecemsomay,sksamuel,hasanhuseyincakir,jeffisabelle,apoStyLEE,muraty,SamyPesse,alemdagibrahim,acemimhnds,asimturgut61,kubudi,huseyinsagdic,liberte,aliemredogan,XcsN,redkit,aliakcay,indria,gurcankavakci,halitalptekin,oguzbilgener,HandeCanatar83,karadeniz,Tyriar,ugurlu,brkyvz,Enphyr,algomation}","{Makefile,VimL,Python,Java,HTML,JavaScript,Shell,None,Scala}","{""<Organization [4Primes:]>"",""<Organization [scala-turkiye:]>"",""<Organization [ReactiveMongo:]>"",""<Organization [sozluk:]>"",""<Organization [PlayFrameworkTR:]>"",""<Organization [cimri:]>""}"
omerhakanbilici                         ,,"{erenkiraz,onurkaracali,osmantuna,burakbabursah,akifozkalay,nsarchar,angelaglory,kadiryaka,ssozuer,hmert,ozziest,samilokan,segeli,halil,erkanceylan,angusshire,bilalyasar,kaaninan,furkanzumrut,D132,zeynpadiyaman,cenkozan,aligoren,freire45,alicertel,bariskuzeyi,erayarslan,josephbritt,felverir,mrpehlivan,altuga}","{mattt,azer,gokmen,firstthumb,emre,cheshire137,rakyll,addyosmani,arun-gupta,muratcorlu,umitunal,bcinarli,csenol,viralpatel,o,hmert,f,altuga,scalessec,yaman,yekmer,odrobnik,fatih,fehmicansaglam,ssozuer,midorikocak,ckilit,diracdeltas,hakdogan,dashersw,yenerm,aykutdemirel,elifkus,dnomak,ankakusu,sdogruyol,cenkozan,MustafaFerhan,bhdrkn,serpek,huseyinbabal,dsilahcilar,oguzbilgener,skizilkaya,ozthemagician,erayarslan,halil,ibrahimmumcu,bahattincinic,beydogan,furkanzumrut,osmantuna,serkan-ozal,onurkaracali,mmetince,felverir,muhasturk,halilkaya,aligoren,Busra,angelaglory,kadiryaka,smartface-team,erenkiraz,mrpehlivan,burakbabursah,musstyy,bilalyasar,ertuncs,alicertel,hanakamer,segeli,mrtyuz,testhive,buyukkal,caydogdu,bariskuzeyi}","{Objective-C,Python,Go,Java,HTML}",
aaisnep                                 ,,{VishnuReddyb},"{chalup,ksoichiro,oguzbilgener,mikepenz,Clans,antoniolg,petersommerhoff,rey5137,rengwuxian,slidenerd,AlexZhukovich}","{None,Java}",
tech-nik                                ,,"{jasimmk,soosinyi92}","{jaseemabid,oguzbilgener,nielmishra}","{None,JavaScript,PHP,Java}",
ravikant-paudel                         ,,,"{JakeWharton,cyrilmottier,romannurik,swankjesse,crackjack,dhelleberg,devandanger,lucasr,renard314,romainguy,kaushikgopal,hardik-trivedi,oguzbilgener,ogrebgr,antoniolg,aron-bordin,slidenerd,neokree,AndroidSources,edwinj84}","{None,Java,Ruby}",
ArunBartak                              ,,"{applocus,BastiaanDeHart,gabrielpconceicao,shoshindes,jreiher2003,angusshire,ternsip,SnehaRane}","{pomeo,tas2580,Qambar,lzyzsd,viatsko,jalcine,zzet,ahmadassaf,shobhitsharma,weger,Atrox,milesblackwood,stoeffel,oguzbilgener,lightningtgc,cyanpunk,erayarslan,kalasoo,BernardoGO,f1nality,chrisbernal,JulienGenoud,ACPK,henricavalcante,theWhiteFox,remirobert,gemire,raooll,khusnetdinov,haoyuexing,raichur,akhera,ProjectBarks,terrytangyuan,philipperemy,adaiguoguo,sokool,nscherer30,ifilonenko,PADERMA,shadi-mahm,andreydanil,sharnie,liaol,dandiferr,jreiher2003,MicBrain,tejasmanohar,TGSoftware,camh96,jacsonLee,clementallen,ltalhouarne,Zhangdroid,jayesh15111988,aarondancer,X140Yu,hellokitty111,AdilVirani,graves,AdrianBZG,Goatform,abinashmohanty,BastiaanDeHart,KevinOfNeu,brennanbrown,nsgeorgi,patdhlk,Putra1,Rudrig,armenoid1,wangkanai,coderyi,yakamura,niklauswirth,Thallen,xun06179xing,namandistro,AnatoliyGatt}",,
yunguangshu                             ,,"{rehanmhd,shoshindes,brunocasanova,cusspvz,angusshire,PavelDemyanenko,Ballinger1215,VagrantStory,zackhaikal,ternsip}","{addyosmani,pomeo,sindresorhus,Qambar,NARKOZ,PavelDemyanenko,ahmadassaf,naiduv,shobhitsharma,Atrox,stoeffel,Wolftein,oguzbilgener,lightningtgc,rtroncoso,erayarslan,BernardoGO,f1nality,chrisbernal,JulienGenoud,covxx,henricavalcante,oscarmcm,webcaetano,Liaoer,theWhiteFox,joeconradt,khusnetdinov,haoyuexing,cf-ssharma,ProjectBarks,stmapman7,adaiguoguo,srxqds,andreydanil,JamzyWang,toubou91,woyaofacai,s4chin,gester,aarondancer,hellokitty111,Vino007,stefandeclerck,Skionz,AdrianBZG,Goatform,abinashmohanty,nsgeorgi,patdhlk,batiron,coderyi,yakamura,niklauswirth,gouzz,mthjn,namandistro,AnatoliyGatt}",,
cslong1                                 ,,"{dandiferr,yichenluan,arkokoley,trabusNas,chyt,zackhaikal,SnehaRane}","{Qambar,NARKOZ,olirehacek,shobhitsharma,wubaiqing,oguzbilgener,erayarslan,f1nality,chrisbernal,JulienGenoud,henricavalcante,oscarmcm,theWhiteFox,joeconradt,gemire,khusnetdinov,haoyuexing,ProjectBarks,ChinaSunHZ,philipperemy,ZudoMC,JamzyWang,Titzanyic,dechinkey,geofmureithi,zhengxiaopeng,int-elligence,srikanthkh,helloJp,Goatform,aimeos,KevinOfNeu,nsgeorgi,rehanmhd,Thallen,SURVANT-Cryp,kuileia,namandistro,AnatoliyGatt}",,
burakkara                               ,,"{kacarer,metacons}","{tpope,yigit,romannurik,swankjesse,csenol,lexs,mattprecious,nickbutcher,sandromancuso,canerbasaran,tasomaniac,meln1k,orhanobut,oguzbilgener,buranmert,feemi,rucka,metacons,kardeslik,kacarer,oguzbabaoglu}","{None,Java}",
StevenMasini                            ,Curiosity China                                                                                                                                                                                                                                           ,"{DimDL,nicolasbigot,angusshire,cusspvz,brunocasanova,magicshui,proforbes,shoshindes,peterkokot,wstcyx,tennisonchan,appidiabhinav,AlexisOhanian,freire45,stoked-zz,VagrantStory,donghuagif,ternsip,shayanzare,AeronStory,gintern}","{tpope,cwillmor,jashkenas,tonyarnold,nsforge,jdg,mattt,substack,casademora,tj,shykes,orta,soffes,JakeWharton,tomaz,nvie,matej,mdo,blork,kharrison,neonichu,PaulTaykalo,kennethreitz,MugunthKumar,jckarter,ChristianKienle,bpoplauschi,dcaunt,thabz,sindresorhus,zwaldowski,michaeltyson,mbostock,netbe,tangplin,petester42,robbiehanson,bang590,magicshui,kattrali,mikeash,danielgindi,jspahrsummers,nixzhu,erichoracek,rwenderlich,jpsim,romaonthego,ashfurrow,swestrich,nicklockwood,cloudkite,supermarin,hakimel,stefanceriu,snakeninny,pepibumur,kevva,MaddTheSane,tangqiaoboy,jurre,krzyzanowskim,xissburg,lazerwalker,zetachang,archagon,EricLarch,onevcat,torvalds,zhigang1992,ruslanskorb,rivera-ernesto,syedhali,oguzbilgener,mrackwitz,krzysztofzablocki,paulmelnikow,peterkokot,vmartinelli,questbeat,wasabeef,segiddins,vhf,yoavlt,MatiBot,nicolaschengdev,jessesquires,pollastri-pierre,maximbilan,NicolasDorier,erickhun,nicolasbigot,cusspvz,CoderMJLee,brunocasanova,jpetitto,alex-cory,angusshire,PhilJay,DimDL,thorntonbm,shoshindes}","{Objective-C,Objective-C++,None,Swift}",
lizhidu                                 ,,"{liuzilong,xlg,huxq17,SwordBearer,sougoucm,caik13,cusspvz,angusshire,pranavlathigara,boygaggoo,ycyranqingjjs,RayeWang,MichalPaszkiewicz,stoked-zz,ternsip,irshuLx}","{johndagostino,grigio,beaucollins,paulirish,erning,markauskas,JakeWharton,ErikHellman,koush,glenux,cyrilmottier,mdo,romannurik,mttkay,commonsguy,loopj,aaronpk,kennethreitz,swankjesse,sofish,jgilfelt,myfreeweb,lzyzsd,chrisbanes,greenrobot,BYVoid,MOZGIII,goshakkk,JacksonTian,yongce,fengli,bottiger,dlew,MatejLach,halzhang,SimonVT,sockeqwe,khotyn,kevinsawicki,mmin18,cantora,cyndibaby905,sephiroth74,azet,romainguy,torvalds,dodola,oldratlee,mfirry,wenshao,chrisjenx,Trinea,jpardogo,nostra13,jfeinstein10,oguzbilgener,code4craft,android10,pcqpcq,Jawnnypoo,emilsjolander,yangfuhai,Dreddik,hehonghui,SwordBearer,wuyexiong,lvht,softwind0214,stormzhang,daimajia,Tibolte,gabrielemariotti,wyouflf,Juude,ManuelPeinado,flipper83,grumoon,alamkanak,singwhatiwanna,jiang111,cundong,saulmm,idunnololz,kaedea,jyane,vikramkakkar,jaychou2012,jeremyletang,flavienlaurent,rengwuxian,iemelyanov,baoyongzhang,xexes,djun100,leerduo,jlmd,hanks-zyh,vivian8725118,MichalPaszkiewicz,sandeeplondhe,lsytj0413,xlg,kbknapp,zhengxiaopeng,cpacm,BaronZ88,sungerk,AigeStudio,bingoogolapple,neokree,finddreams,SpikeKing,CaMnter,tangqi92,MollyMmm,hongyangAndroid,huxq17,irshuLx,stoked-zz,RayeWang,tencent-wechat}","{C++,Go,C#,Java,HTML,JavaScript,CSS,None,C}",
Arunkarthicknallasami                   ,NEXT Techno Enterprises India Pvt Ltd                                                                                                                                                                                                                     ,"{mohanrajsambath,minhnv289}","{cyrilmottier,auscaster,chrisbanes,vladexologija,chiuki,bluejamesbond,amahule,steveliles,shaunchurch,sujaybhowmick,harism,r3gis3r,Todd-Davies,ethankhall,rmtheis,Fmstrat,hardik-trivedi,nelenkov,makovkastar,mxl,Trinea,NightWhistler,jayrambhia,oguzbilgener,anhtuan98,cernekee,heruoxin,javiersantos,survivingwithandroid,karanbalkar,gabrielemariotti,dmytrodanylyk,crankdaworld,navabi,StackTipsLab,szugyi,ikkiChung,donnguyen,pedrovgs,UDOOboard,Frank-Zhu,realtime-framework,balysv,vincentbrison,Hariharan-Gandhi}","{None,C#,Java,C}",
alierdogan7                             ,,"{omer58,terdogan,firatozbay,cusspvz,cagdass,aliatli,anikristo,ozymaxx,tugrulz,omercan,yfgeek}","{ssg,qzaidi,koushikkothagal,furkantektas,oguzbilgener,hcelaloner,frukan,hantuzun,ozymaxx,jirkapinkas,ErdeBek,amatem,baraaorabi,cagdass,anikristo,firatozbay,aliatli,terdogan,omer58,canbax,aliatlii,ozulkuscan}","{PHP,Python,Java,Shell,C++,C}",
kaaninan                                ,,"{melihozkurt,apoStyLEE,aligoren,emret,umitdincel,tolgahanuzun,mertcanekren,erenhatirnaz,hwclass,ebruAkagunduz,husamwise,volkanto,yigitkaraca,swhgoon,gabrielpconceicao,hilalsaim,kenansubasi,gizemiskender,onurkaracali,obedeugene,gurkanyarar,maoweidong,ilgooz,sulutas81,gokhanayhan38,emirias1,shoshindes,aslanunal,krmbzds,GitHubProjeler,cusspvz,brunocasanova,hadesyi,burakyuce,mssalvo,vedindia,angusshire,tugbaa,ozziest,huzeyfeborazan,stoked-zz,cesmeemlak,abdullahvelioglu,cemurat,enesn,omerraker,ademkanat,ternsip,zeynelakcay,birtanyildiz,huseyinozkilic,Rukewetony,UgurAldanmaz,BerkeSlime,alptekinatasoy,mallikarjunayaddala,josephbritt,gintern,ahmtclksn,ziyatc,fmut}","{wycats,ryanb,mikeal,brianleroux,dhh,sonereker,mushtaq,ozgun,ronin,duncanbeevers,dmarkow,filipeamoreira,dmathieu,josevalim,parndt,sferik,azer,brandonaaron,tredoe,chiragsinghal,Erol,kale,rbriank,berkerpeksag,lateefj,phillipadsmith,unclebob,gokmen,emrekutlu,demirten,leeola,roktas,pgte,tetsuo,berk,muratkgirgin,kbaribeau,ibdknox,gkmngrgn,canthefason,jwang,cousine,plq,buremba,vigo,lunks,piquadrat,ustun,romannurik,embed,skorks,usta,serdardalgic,wsenjer,0x00A,drhenner,wikireader,muharremtac,igm,csenol,mauricemach,sent-hil,rubypirate,ulgens,seyhunak,ibrahimatay,jgilfelt,hmert,ademilter,doganaydin,emret,f,meren,narshlob,dadaruh,mennan,devrim,michaelficarra,sulutas81,onurbaran,ssg,fatalica,semihozkoroglu,KL-7,anova,baran,metude,ahmetkakici,tayfunoziserikan,AlperKarapinar,korayal,enishb,yekmer,AndyDiep,dmke,tugberkugurlu,monobilisim,serkanalgur,TheEmpty,alpers,eminn,kyprizel,ybrs,fatihzkaratana,FatihDurmus,fatih,sinan,talhakabakus,fehmicansaglam,enderahmetyurt,serkanaltuntas,guitt,chjj,memre,ujk,arikusu,vargi,aacanakin,trietptm,huseyinozkilic,serdarb,enverarslan,midorikocak,humanchimp,woodenboat,mirac,vertexclique,eser,ygunayer,abdagli,onurtopcu,emiralp,trbartel,askn,JackWS,onuro,cenkalti,SaltwaterC,cihad,fatihacet,ustuntas,kenan-memis,ecemsomay,sksamuel,abhishek77in,hasanhuseyincakir,aliemre,msimav,jeffisabelle,aaugustin,emreakay,apoStyLEE,birtanyildiz,yns,muraty,pixelsquare,ZeynepNurDilek,swhgoon,oguzserdar,eserozvataf,acemimhnds,anthonyalberto,cihangir,kubudi,elifkus,omerhakanbilici,candelibas,haibnu,johnkil,danielkummer,utdemir,makseli,lacivert,adililhan,ercag,indria,sdogruyol,mertkavi,DLu,torvalds,CengAmat,bernaaksoy,makovkastar,eyildiz,emir,akifh,rohanrhu,szkl,kadiryilmaz,omerozkan,madven,hotwolt,leventyalcin,jfeinstein10,ploddi,furkantektas,cenan,costashatz,halitalptekin,Zer0Root,virtualint,oguzbilgener,vmayoral,krmbzds,beratdogan,trinoxz,muzir,Buyomer,karadeniz,ebruAkagunduz,Cahitnuri,joom,vforvandetta,MacHacker7,bahattincinic,moguzhanataman,firatgursoy,omarkurt,pekermert,overclockcu,usirin,bauerca,talhaokur,furkankaynak,hayksaakian,stalayhan,gtmtg,ozgurcd,ozcanacar,aslanunal,hariso,azizarslan,ozziest,mrtcndnlr,burakyuce,caylakpenguen,fatihtoprak,frtncr,berkturk,emrekarabacak,msenol86,oguzhaneren,robotpilot,Cediddi,evrenweb,hantuzun,mehmettaskiner,bulutuzer,ebsaral,gurkanyarar,alferdes,vural,hakanoklay,ferittuncer,ugurlu,cagrikoksal,burakcan,cemurat,mertcanekren,mehmetsoylucom,caglar-ulker,zek,onurkaracali,obedeugene,gizemiskender,cusspvz,mehmetgunturkun,hwclass,githubdata,anilkan,torosgokkurt,kairos34,brunocasanova,yigitkaraca,aligoren,smtaydemir,LugiHaue,OguzhanE,flavienlaurent,klinker41,selim1377,BatuhanK,hzengin,brifordwylie,sadikcetin,umitdincel,gokhansa,DresnerRobotics,mehmetfazil,bcakir,gabrielpconceicao,ferhtaydn,erenhatirnaz,AykanAltun,makcakoca,gokhanayhan38,kutluhanmetin,tugbaa,UgurAldanmaz,wowselim,concerned3rdparty,necatikartal,kenansubasi,senemanil,xmikro,ilgooz,husamwise,hanziwang,furkanoyk,onursa,harunoknel,ilyas-keser,ayciceksamet,MuhammetDilmac,ugurcanlacin,bilalcorbacioglu,matijosaitisa,busekaya,kaanburaksener,zeynelakcay,melihozkurt,yasintoy,Enphyr,huzeyfeborazan,hilalsaim,gamzebuketakca,yyyakupyazici,abdurrahman,kahramankurt,hiorws,tugceykselll,techeventstr,volkanto,GlcEbru,eminecifci,tolgahanuzun,CBaldemir1995,r3n33,maoweidong,figalit,GitHubProjeler,AhsenUsta,Ulubay,erhanpaker,erolbalaban,emirias1,shoshindes,omerraker,Barbarosyldrm}","{PHP,None,Python,Java,Arduino,JavaScript,Processing,C++,C}",
OguzhanE                                ,Ford Otosan                                                                                                                                                                                                                                               ,"{aligoren,angusshire,kaaninan,fceller,frknbasaran,peterkinalex,oguzbilgener,ypersyntelykos,gabrielpconceicao,mssalvo,shoshindes,brunocasanova,cusspvz,peterkokot,alicaglayan,bearofbear,D132,DonnyWong,ParinVachhani,stoked-zz,fly51fly,qinix,MikhailTatsky,ternsip,giando,evinw,Xe,astinaam,valaxis,gokselpirnal,SnehaRane,manu14889}","{defunkt,wycats,technoweenie,ryanb,atduskgreg,kangax,mikeal,alex,jeresig,rphillips,tmm1,bradfitz,holman,shanselman,evmar,jdalton,indexzero,jashkenas,jballanc,huacnlee,carllerche,nesquena,isaacs,passy,mattn,jaredhanson,wprater,igrigorik,nickg,kassens,substack,rauchg,azer,graydon,felixge,tonyg,hemanth,DmitryBaranovskiy,tj,berkerpeksag,solson,rwaldron,philips,migueldeicaza,eren,paulirish,maxogden,mfojtik,neuecc,munificent,rsms,gandro,minad,andreisavu,plusjade,blambeau,kriskowal,juliancheal,philbooth,alexcrichton,antirez,JakeWharton,dougwilson,ibdknox,TooTallNate,tcr,gorkem,vigo,creationix,staltz,jamesgpearce,ustun,jghoman,JeffreyZhao,romannurik,ryanflorence,dbrgn,rakyll,pquerna,timaschew,addyosmani,erszcz,jaredly,aaronpk,alpmestan,kevinmehall,feross,javve,hughperkins,jedisct1,Kami,vvakame,BYK,donpark,muratcorlu,5HT,brson,clayallsopp,nikomatsakis,pcwalton,ahmetalpbalkan,sindresorhus,sidorares,spf13,LeaVerou,bagder,cebe,dtinth,f,devrim,samdutton,caglar10ur,lukehoban,kitak,mbostock,sdiehl,petehunt,ssg,BYVoid,wuman,douglascrockford,needim,terinjokes,akavel,roieki,dherman,ralphtheninja,jharding,coderush,tugberkugurlu,daffl,jquense,huseyinyilmaz,onur,jgillich,floatdrop,mafintosh,eminn,goodfeli,outsideris,chrismattmann,alberts,samyk,othiym23,jspahrsummers,fatih,daneden,fehmicansaglam,mgechev,BurntSushi,msdundar,chjj,btford,qiao,rvagg,yyx990803,Xe,sahat,nicklockwood,RReverser,amasad,cyberglot,domenic,robert-chiniquy,madeye,paf31,askn,maidis,ryansb,zcbenz,jonathanong,kevinsawicki,dashersw,aturon,fatihacet,andlabs,prasmussen,ttezel,cloudwu,faradaj,jayphelps,msusur,gaearon,jvns,ayildirim,SamyPesse,eserozvataf,borisyankov,basarat,cihangir,Valloric,dnomak,thejameskyle,afabbro,alinz,sdogruyol,noraesae,gdi2290,v0lkan,headinthebox,clowwindy,blakeembrey,orhanobut,shinnn,AlexDenisov,parisk,johnpapa,diasdavid,fatiherikli,nezihyigitbasi,FiloSottile,eknkc,halitalptekin,jlord,crm416,oguzbilgener,sokra,legomushroom,mischief,skizilkaya,trueadm,coding-horror,peterkokot,yields,pleerock,muratg,mweststrate,HugoGiraudel,umutayildiz,defaultnamehere,ozziest,Yomguithereal,natemcmaster,p-e-w,jcjohnson,LeFey,hantuzun,leodemoura,ivanseidel,malukenho,acdlite,joeduffy,kentonv,iteles,ahejlsberg,saneki,reem,tux3,co3moz,pine,crc442,arslanbilal,gokselpirnal,arthurvr,orgrimd,leo,frknbasaran,cagdass,RyanCavanaugh,jackpot51,ken,windiest,iammert,ticki,lattner}","{TypeScript,C#,Java,JavaScript,Erlang,None}",
ebensakyi                               ,,,"{oguzbilgener,angular-cli}","{TypeScript,None,HTML}",
YongHuiLuo                              ,,"{UFreedom,choices-zezeviyao,angusshire,duanjunxiao,stoked-zz,VagrantStory,JTANISME,pranavlathigara,ternsip,youngxkk,JairDavis}","{technoweenie,tjohns,JakeWharton,TooTallNate,caipivara,mttkay,lzyzsd,nicolasgramlich,lgvalle,smarek,ksoichiro,benjchristensen,mangini,QuincyLarson,xueduany,wenshao,Trinea,dabbott,dandc87,akarnokd,oguzbilgener,hzsweers,geminiwen,afollestad,qmwu2000,daimajia,singwhatiwanna,fangwei716,litesuits,liaohuqiu,rengwuxian,mthli,UFreedom,runweok,choices-zezeviyao,youngxkk,androidmalin,geeeeeeeeek,xuyisheng,android-cjj,JTANISME,ChoicesWang,stoked-zz}","{C++,JavaScript,Java,Objective-C,None}",
frigids-PUCC                            ,,"{thaleslima,HugoMarks}","{oguzbilgener,thaleslima}","{PHP,None,Java,Ruby}",
kundansdere                             ,,,{oguzbilgener},{Java},
